,순번,개봉연도,영화명,감독,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
0,1,2011,트랜스포머 3,마이클 베이,(주)씨제이이엔엠,2011-06-29,미국,1409,74841350500,7784807,액션,12세이상관람가,일반영화
1,2,2011,최종병기 활,김한민,롯데쇼핑㈜롯데엔터테인먼트,2011-08-10,한국,615,55808856500,7466976,사극,15세이상관람가,일반영화
2,3,2011,써니,강형철,(주)씨제이이엔엠,2011-05-04,한국,472,53773170600,7328820,드라마,15세이상관람가,일반영화
3,4,2011,쿵푸팬더 2,여인영,(주)씨제이이엔엠,2011-05-26,미국,948,44298724500,5062722,애니메이션,전체관람가,일반영화
4,5,2011,완득이,이한,(주)씨제이이엔엠,2011-10-20,한국,500,38526161500,5309928,드라마,12세이상관람가,일반영화
5,6,2011,미션임파서블:고스트프로토콜,브래드 버드,(주)씨제이이엔엠,2011-12-15,미국,1038,38258970000,5042164,액션,15세이상관람가,일반영화
6,7,2011,조선명탐정 : 각시투구꽃의 비밀,김석윤,(주)쇼박스,2011-01-27,한국,611,35841769500,4786259,코미디,12세이상관람가,일반영화
7,8,2011,도가니,황동혁,(주)씨제이이엔엠,2011-09-22,한국,644,35566854800,4662822,드라마,청소년관람불가,일반영화
8,9,2011,해리포터와 죽음의 성물2,데이빗 예이츠,워너브러더스 코리아(주),2011-07-13,미국,757,34507819000,4400298,판타지,전체관람가,일반영화
9,10,2011,캐리비안의 해적: 낯선 조류,롭 마샬,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-05-19,미국,960,27279967500,3130046,액션,12세이상관람가,일반영화
10,11,2011,리얼 스틸,숀 레비,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-10-12,미국,603,26566677000,3579666,액션,12세이상관람가,일반영화
11,12,2011,퀵,조범구,(주)씨제이이엔엠,2011-07-20,한국,512,22960890000,3125069,코미디,15세이상관람가,일반영화
12,13,2011,고지전,장훈,(주)쇼박스,2011-07-20,한국,585,21968557600,2945137,드라마,15세이상관람가,일반영화
13,14,2011,혹성탈출: 진화의 시작,루퍼트 와이어트,이십세기폭스코리아(주),2011-08-17,미국,514,20629757000,2773794,액션,12세이상관람가,일반영화
14,15,2011,오싹한 연애,황인호,(주)씨제이이엔엠,2011-12-01,한국,469,20244149500,2770172,공포(호러),12세이상관람가,일반영화
15,16,2011,7광구,김지훈,(주)씨제이이엔엠,2011-08-04,한국,812,19314027000,2232179,SF,15세이상관람가,일반영화
